book_url,name,author,genres,score,pages,description,cover link
https://www.chitai-gorod.ru/catalog/book/1067354/,Harry Potter and the Sorcerer's Stone,J.K. Rowling,На английском языке,3.68,248,"For the first time, J.K. Rowling's beloved Harry Potter books will be presented in lavishly illustrated full-color editions. Kate Greenaway-award-winning artist Jim Kay has created over 100 stunning illustrations, making this deluxe format a perfect gift as much for a child being introduced to the series, as for the dedicated fan.Harry Potter has never been the star of a Quidditch team, scoring points while riding a broom far above the ground. He knows no spells, has never helped to hatch a dragon, and has never worn a cloak of invisibility.All he knows is a miserable life with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley -- a great big swollen spoiled bully. Harry's room is a tiny closet at the foot of the stairs, and he hasn't had a birthday party in eleven years.",https://img-gorod.ru/26/664/2666413_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2888354/,Гарри Поттер. Рождение легенды (дополненное издание),Лахути М. (пер.),Родителям и детям,3.93,172,"Под красочной обложкой – дополненное издание полюбившейся читателям книги «Гарри Поттер. Рождение легенды». Теперь ещё больше фотографий со съёмок, зарисовок художников и дизайнеров, а также рассказов звёзд о работах над своими ролями и тем, как проходил съёмочный процесс. Прежде всего, издание отличает уникальная информация о последних двух фильмах «Гарри Поттер и Дары смерти», которая ранее никогда не публиковалась на русском языке! Всё это, вкупе с оригинальными артефактами, которые разбросаны по всей книге, делает это издание идеальным подарком для любого поклонника франшизы!",https://img-gorod.ru/28/859/2885923_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2890990/,Midnight Sun,Stephenie Meyer,На английском языке,4.36,756,It’s here! Number one bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with this highly-anticipated companion; the iconic love story of Bella and Edward told from the vampire’s point of view.,https://img-gorod.ru/28/900/2890082_detail.jpg
https://www.chitai-gorod.ru/catalog/book/445917/,The Perks Of Being A Wallflower,Stephen Chbosky,На английском языке,3.83,232,"Charlie is a freshman. And while he s not the biggest geek in the school, he is by no means popular. Shy, introspective, intelligent beyond his years yet socially awkward, he is a wallflower, caught between trying to live his life and trying to run from it. Charlie is attempting to navigate his way through uncharted territory: the world of first dates and mixed tapes, family dramas and new friends; the world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that perfect song on that perfect drive to feel infinite. But Charlie can t stay on the sideline forever. Standing on the fringes of life offers a unique perspective. But there comes a time to see what it looks like from the dance floor. The Perks of Being a Wallflower is a deeply affecting coming-of-age story that will spirit you back to those wild and poignant roller-coaster days known as growing up.",https://img-gorod.ru/23/615/2361546_detail.jpg
https://www.chitai-gorod.ru/catalog/book/999263/,Sapiens. A Brief History of Humankind,Yuval Noah Harari,На английском языке,3.81,498,"Planet Earth is 4.5 billion years old. In just a fraction of that time, one species among countless others has conquered it. Us.We are the most advanced and most destructive animals ever to have lived. What makes us brilliant? What makes us deadly? What makes us Sapiens?In this bold and provocative book, Yuval Noah Harari explores who we are, how we got here and where we’re going.Sapiens is a thrilling account of humankind’s extraordinary history – from the Stone Age to the Silicon Age – and our journey from insignificant apes to rulers of the world.",https://img-gorod.ru/26/054/2605428_detail.jpg
https://www.chitai-gorod.ru/catalog/book/794052/,The Hobbit or There and Back Again,J.R.R. Tolkien,На английском языке,4.18,368,"The Hobbit is the unforgettable story of Bilbo, a peace-loving hobbit, who embarks on a strange and magical adventure.",https://img-gorod.ru/24/515/2451529_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2892039/,They Both Die at the End,Silvera A.,На английском языке,3.89,373,"On September 5th, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: theyre going to die today. Mateo and Rufus are total strangers, but, for different reasons, theyre both looking to make a new friend on their End Day. The good news: theres an app for that. Its called the Last Friend, and through it, Rufus and Mateo are about to meet up for one last great adventure - to live a lifetime in a single day.",https://img-gorod.ru/28/905/2890563_detail.jpg
https://www.chitai-gorod.ru/catalog/book/782306/,Harry Potter and the Philosopher`s Stone,J.K. Rowling,На английском языке,4.11,332,"Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harrys eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry.",https://img-gorod.ru/24/446/2444651_detail.jpg
https://www.chitai-gorod.ru/catalog/book/1093902/,"Аниматор: набор для выживания. Секреты и методы создания анимации, 3D-графики и компьютерных игр",Ричард Уильямс,Изобразительное искусство,4.23,392,"Эта книга - сборник уникальных мастер-классов от обладателя премии Оскар и создателя фильма ""Кто подставил кролика Роджера?"". В ней он рассказывает об основных принципах анимации, секретах и нюансах профессии, которые будут полезны как новичку, так и профессионалу. Ричард Уильямс призывает своих читателей ""придумывать, но быть правдоподобным"" и иллюстрирует каждый свой урок интересными примерами",https://img-gorod.ru/26/996/2699640_detail.jpg
https://www.chitai-gorod.ru/catalog/book/2833153/,"Мир игры ""Cuphead""","Эли Цимет, Тайлер Мольденхауэр",Изобразительное искусство,4.05,264,"Настоящий подарок для фаната главного run & gun-шедевра последних лет! Внутри создатели подробно расскажут о главных героях, локациях, боссах и механиках игры. Но читателя ждёт не только текстовое описание, но ещё и гора раскадровок, концепт-артов и образы персонажей, которые так и не были использованы в финальной версии игры. А в конце приоткроется завеса тайны над будущими приключениями чашкоголовых братьев! Если вы не один вечер провели, уничтожая горы разнообразных врагов на пути к боссам, потратили кучу нервов и сломали любимый геймпад, то эта книга для вас!",https://img-gorod.ru/28/325/2832588_detail.jpg
